观看者年龄,观看者性别,观看次数 (%),观看时长（小时） (%)
13–17 岁,女,0.57,0.49
13–17 岁,男,0.82,0.67
18–24 岁,女,3,2.98
18–24 岁,男,3.24,5.08
25–34 岁,女,15.39,14.22
25–34 岁,男,17.74,19.07
35–44 岁,女,11.43,9.02
35–44 岁,男,13.75,13.01
45–54 岁,女,4.55,4.5
45–54 岁,男,7.54,7.31
55–64 岁,女,5.2,5.45
55–64 岁,男,5.37,4.77
65 岁以上,女,6.6,8.06
65 岁以上,男,4.81,5.37
